cast,title
"['Shin Hye Sun', 'Yang Se Jong', 'Ahn Hyo Seop', 'Ye Ji Won', 'Jung Yoo Jin', 'Yoon Sun Woo', 'Wang Ji Won', 'Lee Seung Joon', 'Shim Yi Young', 'Lee Do Hyun', 'Wang Suk Hyun']",Thirty But Seventeen
"['Joo Sang Wook', 'Lee Min Jung', 'Lee Ki Woo', 'So Yi Hyun', 'Park Soo Ah', 'Cha Soo Yun', 'Lim Ji Kyu', 'Shim Yi Young', 'Jung Soo Young', 'Kwon Tae Won', 'Yoon Hak']",Fates and Furies
"['Shin Sung Rok', 'Jang Nara', 'Choi Jin Hyuk', 'Shin Eun Kyung', 'Lee Elijah', 'Park Won Sook', 'Yoon Da Hoon', 'Lee Hee Jin', 'Yoon So Yi', 'Stephanie Lee', 'Kim Yoon Ji', 'Tae Hang Ho']",The Last Empress
"['Park Bo Gum', 'Song Hye Kyo', 'Jang Seung Jo', 'P.O', 'Nam Gi Ae', 'Shin Jung Geun', 'Kim Hye Eun', 'Lee Shi Hoon', 'Moon Sung Geun', 'Jeon So Nee', 'Baek Ji Won', 'Go Chang Suk', 'Cha Hwa Yun', 'Park Jin Joo']",Encounter
"['Yoo Seung Ho', 'Jo Bo Ah', 'Kwak Dong Yeon', 'Yoo Seon Ho', 'Kim Dong Young', 'Park Ah In', 'Kim Yeo Jin', 'Kim Mi Kyung', 'Uhm Hyo Sup', 'Chun Ho Jin', 'Kim Kwang Gyu']",My Strange Hero
"['Park Seo Joon', 'Park Min Young', 'Lee Tae Hwan', 'Kang Ki Young', 'Chansung', 'Pyo Ye Jin', 'Kim Hye Ok', 'Kim Byung Ok', 'Hwang Bo Ra', 'Lee Yoo Joon', 'Lee Jung Min', 'Kim Jung Woon', 'Kang Hong Seok', 'Hong Ji Yoon', 'Kim Ye Won']",What’s Wrong With Secretary Kim
"['Choi Jin Hyuk', 'Song Ha Yoon', 'Lee Ho Won', 'Lee Joo Yeon']",Devilish Joy
"['Yoo Seung Ho', 'Chae Soo Bin', 'Uhm Ki Joon', 'Hwang Seung Eon', 'Kang Ki Young', 'Seo Dong Won', 'Uhm Hyo Sup', 'Kim Ki Doo', 'Son Byung Ho', 'Kim Min Kyu (1988)', 'Kim Ha Kyoon', 'Park Se Wan', 'Lee Min Ji (1988)', 'Lee Byung Joon']",I Am Not a Robot
"['Ji Chang Wook', 'Nam Ji Hyun', 'Choi Tae Joon', 'Nara', 'Kim Ye Won (1987)', 'Lee Deok Hwa', 'Jang Hyuk Jin', 'Nam Gi Ae', 'Jin Ju Hyung', 'Kim Hong Fa', 'Dong Ha']",Suspicious Partner
"['Nam Joo Hyuk', 'Lee Sung Kyung', 'Lee Jae Yoon', 'Kyung Soo Jin', 'Choi Moo Sung', 'Jung In Ki', 'Ji Il Joo', 'Jang Young Nam', 'Kang Ki Young', 'Jo Hye Jung', 'Lee Joo Young']",Weightlifting Fairy Kim Bok Joo
"['Uee', 'Lee Jang Woo', 'Na Hye Mi', 'Yoon Jin Yi', 'Choi Soo Jong', 'Park Sung Hoon', 'Im Ye Jin', 'Jung Eun Woo', 'Cha Hwa Yun', 'Jin Kyung', 'Park Sang Won', 'Jung Jae Sun']",My Only One
"['Lee Jong Suk', 'Han Hyo Joo', 'Lee Tae Hwan', 'Jung Yoo Jin', 'Lee Si Eon', 'Kang Ki Young', 'Park Won Sang', 'Kim Eui Sung', 'Cha Kwang Soo', 'Nam Gi Ae']",W
"['Yeo Jin Goo', 'Lee Se Young', 'Kim Sang Kyung', 'Jung Hye Young', 'Kwon Hae Hyo', 'Jang Gwang', 'Jang Young Nam', 'Yoon Kyung Ho', 'Lee Moo Saeng']",The Crowned Clown
"['Yoo Jae Suk', 'Haha', 'Song Ji Hyo', 'Kim Jong Kook', 'Lee Kwang Soo', 'Ji Suk Jin', 'Jun So Min']",Running Man
"['Park Bo Young', 'Park Hyung Sik', 'Ji Soo', 'An Woo Yeon', 'Kim Min Kyo', 'Yoo Jae Myung', 'Shim Hye Jin', 'Kim Won Hae', 'Seol In Ah', 'Joo Ho', 'Jang Mi Kwan', 'Park Bo Mi', 'Jeon Suk Ho', 'Im Won Hee', 'Kim Won Suk']",Strong Woman Do Bong Soon
