# episodes,genre,network,rating,s_rating,title,cast,director,screenwriter
32,KoreanDrama Drama Romance Comedy Crime&Mystery,Sbs,9.58,PG-13,Thirty But Seventeen,ShinHyeSun YangSeJong AhnHyoSeop YeJiWon JungYooJin YoonSunWoo WangJiWon LeeSeungJoon ShimYiYoung LeeDoHyun WangSukHyun,JoSooWon,JoSungHee
36,Romance Melodrama KoreanDrama,Sbs,8.73,PG-13,Fates and Furies,JooSangWook LeeMinJung LeeKiWoo SoYiHyun ParkSooAh ChaSooYun LimJiKyu ShimYiYoung JungSooYoung KwonTaeWon YoonHak,JungDongYoon,KangCheolWoong
42,KoreanDrama Drama Romance,Sbs,9.45,PG-13,The Last Empress,ShinSungRok JangNara ChoiJinHyuk ShinEunKyung LeeElijah ParkWonSook YoonDaHoon LeeHeeJin YoonSoYi StephanieLee KimYoonJi TaeHangHo,JooDongMin,KimSunOk
16,Romance KoreanDrama,Tvn,9.56,PG-13,Encounter,ParkBoGum SongHyeKyo JangSeungJo P.O NamGiAe ShinJungGeun KimHyeEun LeeShiHoon MoonSungGeun JeonSoNee BaekJiWon GoChangSuk ChaHwaYun ParkJinJoo,ParkShinWoo,YooYoungA
32,Romance Melodrama Drama KoreanDrama,Sbs,9.55,PG-13,My Strange Hero,YooSeungHo JoBoAh KwakDongYeon YooSeonHo KimDongYoung ParkAhIn KimYeoJin KimMiKyung UhmHyoSup ChunHoJin KimKwangGyu,HamJoonHo,KimYoonYoung
16,KoreanDrama IdolDrama Romance,Tvn,9.72,PG-13,What’s Wrong With Secretary Kim,ParkSeoJoon ParkMinYoung LeeTaeHwan KangKiYoung Chansung PyoYeJin KimHyeOk KimByungOk HwangBoRa LeeYooJoon LeeJungMin KimJungWoon KangHongSeok HongJiYoon KimYeWon,ParkJoonHwa YooJongSun,JungKyungYoon JungEunYoung
16,Romance KoreanDrama,Mbn Dramax,9.15,PG-13,Devilish Joy,ChoiJinHyuk SongHaYoon LeeHoWon LeeJooYeon,KimGaRam,ChoiJiYeon
33,Drama KoreanDrama Comedy Romance,Mbc,9.67,PG-13,I Am Not a Robot,YooSeungHo ChaeSooBin UhmKiJoon HwangSeungEon KangKiYoung SeoDongWon UhmHyoSup KimKiDoo SonByungHo KimMinKyu(1988) KimHaKyoon ParkSeWan LeeMinJi(1988) LeeByungJoon,JungDaeYoon,KimSeonMi
40,KoreanDrama Drama Romance Comedy Thriller&Suspense,Sbs,9.63,PG-13,Suspicious Partner,JiChangWook NamJiHyun ChoiTaeJoon Nara KimYeWon(1987) LeeDeokHwa JangHyukJin NamGiAe JinJuHyung KimHongFa DongHa,ParkSunHo,KwonKiYoung
16,Romance Sports Drama KoreanDrama,Mbc,9.75,PG-13,Weightlifting Fairy Kim Bok Joo,NamJooHyuk LeeSungKyung LeeJaeYoon KyungSooJin ChoiMooSung JungInKi JiIlJoo JangYoungNam KangKiYoung JoHyeJung LeeJooYoung,OhHyunJong,YangHeeSeung
82,Family&Kids KoreanDrama Drama,Kbs,9.03,PG-13,My Only One,Uee LeeJangWoo NaHyeMi YoonJinYi ChoiSooJong ParkSungHoon ImYeJin JungEunWoo ChaHwaYun JinKyung ParkSangWon JungJaeSun,HongSeokKu,KimSaKyung
17,KoreanDrama Romance Drama Thriller&Suspense Sci-Fi&Fantasy,Mbc,9.69,PG-13,W,LeeJongSuk HanHyoJoo LeeTaeHwan JungYooJin LeeSiEon KangKiYoung ParkWonSang KimEuiSung ChaKwangSoo NamGiAe,JungDaeYoon,SongJaeJung
9,Historical Romance KoreanDrama Costume&Period,Tvn,9.73,PG-13,The Crowned Clown,YeoJinGoo LeeSeYoung KimSangKyung JungHyeYoung KwonHaeHyo JangGwang JangYoungNam YoonKyungHo LeeMooSaeng,KimHeeWon,KimSunDeok ShinHaEun
96,Lifestyle&Variety Entertainment VarietyShow,Sbs,9.29,PG-13,Running Man,YooJaeSuk Haha SongJiHyo KimJongKook LeeKwangSoo JiSukJin JunSoMin,LeeHwanJin,JoHyojin KimJoohyung ImHyungtaek
17,Romance KoreanDrama Drama IdolDrama Comedy Sci-Fi&Fantasy,Jtbc,9.77,PG-13,Strong Woman Do Bong Soon,ParkBoYoung ParkHyungSik JiSoo AnWooYeon KimMinKyo YooJaeMyung ShimHyeJin KimWonHae SeolInAh JooHo JangMiKwan ParkBoMi JeonSukHo ImWonHee KimWonSuk,LeeHyeongMin,BaekMiKyeong
23,Romance Sci-Fi&Fantasy KoreanDrama Drama,Sbs,9.6,PG-13,The Legend of the Blue Sea,LeeMinHo JunJiHyun ShinHyeSun LeeHeeJoon ShinWonHo SungDongIl MoonSoRi LeeJiHoon HwangShinHye Jinyoung(GOT7) OhYeonAh,JinHyeok,ParkJiEun
