id,name,type
1g,Action & Adventure,film and tv
2g,Anime,film and tv
1057g,Beauty,creators
3g,Biography,film and tv
1017g,C-Pop,music
1062g,CREATED for Viki,creators
4g,Cartoons,film and tv
1058g,Challenges & Competitions,creators
5g,Classics,film and tv
6g,Comedy,film and tv
25g,Costume & Period,film and tv
7g,Crime & Mystery,film and tv
1059g,Culture,creators
1030g,Dance,music
1051g,Disaster,film and tv
8g,Documentary,film and tv
9g,Drama,film and tv
10g,Entertainment,film and tv
24g,Family & Kids,film and tv
1060g,Fashion,creators
1048g,Film Noir,film and tv
1061g,Food,creators
1053g,Food & Cooking,film and tv
1037g,Historical,film and tv
12g,Horror & Supernatural,film and tv
1038g,Idol Drama,film and tv
1014g,J-Pop,music
1032g,K-Pop,music
23g,Korean Drama,film and tv
1039g,Lifestyle,creators
14g,Lifestyle & Variety,film and tv
1040g,Medical Drama,film and tv
1041g,Melodrama,film and tv
17g,Music,film and tv
1052g,Musicals,film and tv
1020g,Pop,music
1042g,Reality,film and tv
1025g,Rock,music
18g,Romance,film and tv
19g,Sci-Fi & Fantasy,film and tv
1047g,Short Films,film and tv
20g,Sports,film and tv
1043g,Taiwanese Drama,film and tv
27g,Telenovelas,film and tv
26g,Thriller & Suspense,film and tv
1055g,Travel,film and tv
1044g,Variety Show,film and tv
1050g,War,film and tv
1045g,Web Drama,film and tv
1046g,Women,film and tv
