title,url,container,rating,# ratings
Thirty But Seventeen,https://www.viki.com/tv/36109c-thirty-but-seventeen,36109c,9.58,7368
Fates and Furies,https://www.viki.com/tv/36240c-fates-and-furies,36240c,9.14,1401
The Last Empress,https://www.viki.com/tv/36241c-the-last-empress,36241c,9.45,3858
Encounter,https://www.viki.com/tv/36239c-encounter,36239c,9.59,5436
My Strange Hero,https://www.viki.com/tv/36330c-my-strange-hero,36330c,9.56,2239
What’s Wrong With Secretary Kim,https://www.viki.com/tv/35835c-whats-wrong-with-secretary-kim,35835c,9.72,34379
Devilish Joy,https://www.viki.com/tv/35734c-devilish-joy,35734c,9.13,1144
I Am Not a Robot,https://www.viki.com/tv/35618c-i-am-not-a-robot,35618c,9.67,27406
Suspicious Partner,https://www.viki.com/tv/34557c-suspicious-partner,34557c,9.63,20347
Weightlifting Fairy Kim Bok Joo,https://www.viki.com/tv/32634c-weightlifting-fairy-kim-bok-joo,32634c,9.75,28575
My Only One,https://www.viki.com/tv/36230c-my-only-one,36230c,9.12,526
W,https://www.viki.com/tv/30854c-w,30854c,9.69,33448
The Crowned Clown,https://www.viki.com/tv/36414c-the-crowned-clown,36414c,9.76,687
Running Man,https://www.viki.com/tv/21511c-running-man,21511c,9.31,3426
Strong Woman Do Bong Soon,https://www.viki.com/tv/32311c-strong-woman-do-bong-soon,32311c,9.77,38162
The Legend of the Blue Sea,https://www.viki.com/tv/32240c-the-legend-of-the-blue-sea,32240c,9.6,24612
While You Were Sleeping,https://www.viki.com/tv/33538c-while-you-were-sleeping,33538c,9.68,28369
Descendants of the Sun,https://www.viki.com/tv/23205c-descendants-of-the-sun,23205c,9.75,30414
Where Stars Land,https://www.viki.com/tv/36298c-where-stars-land,36298c,9.25,6409
Oh My Venus,https://www.viki.com/tv/28538c-oh-my-venus,28538c,9.65,20124
A Pledge to God,https://www.viki.com/tv/36331c-a-pledge-to-god,36331c,9.11,362
Hwarang,https://www.viki.com/tv/29810c-hwarang,29810c,9.61,18220
My Love From the Star,https://www.viki.com/tv/20503c-my-love-from-the-star,20503c,9.63,16227
Revenge Note 2,https://www.viki.com/tv/36317c-revenge-note-2,36317c,9.33,2748
Boys Over Flowers,https://www.viki.com/tv/50c-boys-over-flowers,50c,9.43,19475
Tempted,https://www.viki.com/tv/35783c-tempted,35783c,9.33,9695
Healer,https://www.viki.com/tv/23730c-healer,23730c,9.77,12866
Father Is Strange,https://www.viki.com/tv/33878c-father-is-strange,33878c,9.69,3977
Fated to Love You,https://www.viki.com/tv/23484c-fated-to-love-you,23484c,9.55,8184
My Healing Love,https://www.viki.com/tv/36232c-my-healing-love,36232c,8.91,293
Because This Is My First Life,https://www.viki.com/tv/35630c-because-this-is-my-first-life,35630c,9.66,12558
The Smile Has Left Your Eyes,https://www.viki.com/tv/36185c-the-smile-has-left-your-eyes,36185c,9.56,8152
Pinocchio,https://www.viki.com/tv/23066c-pinocchio,23066c,9.51,14473
Just Between Lovers,https://www.viki.com/tv/35617c-just-between-lovers,35617c,9.63,13412
Wok of Love,https://www.viki.com/tv/35838c-wok-of-love,35838c,9.36,6718
Fight My Way,https://www.viki.com/tv/34479c-fight-my-way,34479c,9.62,10196
Doctors,https://www.viki.com/tv/31066c-doctors,31066c,9.3,11689
Moonlight Drawn by Clouds,https://www.viki.com/tv/30308c-moonlight-drawn-by-clouds,30308c,9.63,9152
Hwayugi,https://www.viki.com/tv/35620c-hwayugi,35620c,9.65,11822
Come and Hug Me,https://www.viki.com/tv/35834c-come-and-hug-me,35834c,9.49,5072
Children of Nobody,https://www.viki.com/tv/36329c-children-of-nobody,36329c,9.56,572
When Time Stopped,https://www.viki.com/tv/36111c-when-time-stopped,36111c,9.35,9088
Secret Garden,https://www.viki.com/tv/1565c-secret-garden,1565c,9.38,6844
"Coffee, Do Me a Favor",https://www.viki.com/tv/36112c-coffee-do-me-a-favor,36112c,8.18,798
"Rich Man, Poor Woman",https://www.viki.com/tv/35744c-rich-man-poor-woman,35744c,8.85,9893
Feel Good To Die,https://www.viki.com/tv/36328c-feel-good-to-die,36328c,9.32,546
Blood,https://www.viki.com/tv/24437c-blood,24437c,9.18,7517
Goong,https://www.viki.com/tv/72c-goong,72c,9.1,3018
UNDER NINETEEN,https://www.viki.com/tv/36337c-under-nineteen,36337c,9.45,277
School 2017,https://www.viki.com/tv/35518c-school-2017,35518c,9.39,6078
Who Are You,https://www.viki.com/tv/27117c-who-are-you,27117c,9.38,9860
Hotel King,https://www.viki.com/tv/22543c-hotel-king,22543c,9.26,1355
Mama Fairy and the Woodcutter,https://www.viki.com/tv/36187c-mama-fairy-and-the-woodcutter,36187c,8.55,1642
Playful Kiss,https://www.viki.com/tv/504c-playful-kiss,504c,9.03,8996
Witch's Love,https://www.viki.com/tv/36108c-witchs-love,36108c,9.3,7531
Revenge Note 1,https://www.viki.com/tv/36316c-revenge-note-1,36316c,9.34,1944
Kill Me Heal Me,https://www.viki.com/tv/22811c-kill-me-heal-me,22811c,9.73,11705
Master’s Sun,https://www.viki.com/tv/11915c-masters-sun,11915c,9.57,8208
Dong Yi,https://www.viki.com/tv/651c-dong-yi,651c,9.55,1019
Coffee Prince,https://www.viki.com/tv/247c-coffee-prince,247c,9.43,4953
Love Alert,https://www.viki.com/tv/36299c-love-alert,36299c,8.29,2346
The Best Chicken,https://www.viki.com/tv/36350c-the-best-chicken,36350c,8.95,337
Hi! School - Love On,https://www.viki.com/tv/23987c-hi-school-love-on,23987c,9.24,4323
To the Beautiful You,https://www.viki.com/tv/3475c-to-the-beautiful-you,3475c,9.15,6140
Master in the House,https://www.viki.com/tv/35759c-master-in-the-house,35759c,9.76,1511
Cunning Single Lady,https://www.viki.com/tv/21937c-cunning-single-lady,21937c,9.39,3346
Radio Romance,https://www.viki.com/tv/35737c-radio-romance,35737c,9.27,5946
The Return of Superman,https://www.viki.com/tv/24715c-the-return-of-superman,24715c,9.01,635
A Hundred Years' Inheritance,https://www.viki.com/tv/11432c-a-hundred-years-inheritance,11432c,8.91,404
The Moon Embracing the Sun,https://www.viki.com/tv/2130c-the-moon-embracing-the-sun,2130c,9.55,3134
About Time,https://www.viki.com/tv/35745c-about-time,35745c,9.01,5363
Doctor Stranger,https://www.viki.com/tv/22343c-doctor-stranger,22343c,9.06,6722
Lawless Lawyer,https://www.viki.com/tv/35833c-lawless-lawyer,35833c,9.67,6657
Cheese In The Trap,https://www.viki.com/tv/23141c-cheese-in-the-trap,23141c,8.73,6242
Dear Fair Lady Kong Shim,https://www.viki.com/tv/30484c-dear-fair-lady-kong-shim,30484c,9.46,6826
The Undateables,https://www.viki.com/tv/35839c-the-undateables,35839c,9.15,4594
Home Alone,https://www.viki.com/tv/35553c-home-alone,35553c,9.25,253
Shopping King Louie,https://www.viki.com/tv/32198c-shopping-king-louie,32198c,9.51,7244
The K2,https://www.viki.com/tv/31865c-the-k2,31865c,9.32,2441
Emergency Couple,https://www.viki.com/tv/22330c-emergency-couple,22330c,9.19,2712
My Golden Life,https://www.viki.com/tv/35590c-my-golden-life,35590c,9.25,1885
2 Days and 1 Night,https://www.viki.com/tv/2151c-2-days-and-1-night,2151c,9.5,491
You’re Beautiful,https://www.viki.com/tv/442c-youre-beautiful,442c,9.23,6567
My Little Old Boy,https://www.viki.com/tv/35555c-my-little-old-boy,35555c,9.31,167
Five Children,https://www.viki.com/tv/29279c-five-children,29279c,9.65,2057
Wind-bell,https://www.viki.com/tv/36300c-wind-bell,36300c,9.08,93
Twelve Nights,https://www.viki.com/tv/36183c-twelve-nights,36183c,8.24,1481
I Hear Your Voice,https://www.viki.com/tv/12147c-i-hear-your-voice,12147c,9.41,5863
Angry Mom,https://www.viki.com/tv/26546c-angry-mom,26546c,9.52,2139
"Hyde, Jekyll, Me",https://www.viki.com/tv/25824c-hyde-jekyll-me,25824c,8.87,2715
Reply 1988,https://www.viki.com/tv/26576c-reply-1988,26576c,9.64,2404
The Flower in Prison,https://www.viki.com/tv/29937c-the-flower-in-prison,29937c,9.24,1228
Law of the Jungle,https://www.viki.com/tv/22682c-law-of-the-jungle,22682c,9.26,348
Good Doctor,https://www.viki.com/tv/20218c-good-doctor,20218c,9.63,1680
High Society,https://www.viki.com/tv/27124c-high-society,27124c,8.55,3790
Marry Me Now,https://www.viki.com/tv/35782c-marry-me-now,35782c,8.9,1096
Less than Evil,https://www.viki.com/tv/36238c-less-than-evil,36238c,8.79,106
"Jang Geum, Oh My Grandma",https://www.viki.com/tv/36234c-jang-geum-oh-my-grandma,36234c,9.11,227
Little House in the Forest,https://www.viki.com/tv/36314c-little-house-in-the-forest,36314c,9.26,113
Liver or Die,https://www.viki.com/tv/36419c-liver-or-die,36419c,8.89,47
