title,content
Thirty But Seventeen,KoreanDrama Drama Romance Comedy Crime&Mystery ShinHyeSun YangSeJong AhnHyoSeop YeJiWon JungYooJin YoonSunWoo WangJiWon LeeSeungJoon ShimYiYoung LeeDoHyun WangSukHyun JoSooWon JoSungHee
Fates and Furies,Romance Melodrama KoreanDrama JooSangWook LeeMinJung LeeKiWoo SoYiHyun ParkSooAh ChaSooYun LimJiKyu ShimYiYoung JungSooYoung KwonTaeWon YoonHak JungDongYoon KangCheolWoong
The Last Empress,KoreanDrama Drama Romance ShinSungRok JangNara ChoiJinHyuk ShinEunKyung LeeElijah ParkWonSook YoonDaHoon LeeHeeJin YoonSoYi StephanieLee KimYoonJi TaeHangHo JooDongMin KimSunOk
Encounter,Romance KoreanDrama ParkBoGum SongHyeKyo JangSeungJo P.O NamGiAe ShinJungGeun KimHyeEun LeeShiHoon MoonSungGeun JeonSoNee BaekJiWon GoChangSuk ChaHwaYun ParkJinJoo ParkShinWoo YooYoungA
My Strange Hero,Romance Melodrama Drama KoreanDrama YooSeungHo JoBoAh KwakDongYeon YooSeonHo KimDongYoung ParkAhIn KimYeoJin KimMiKyung UhmHyoSup ChunHoJin KimKwangGyu HamJoonHo KimYoonYoung
What’s Wrong With Secretary Kim,KoreanDrama IdolDrama Romance ParkSeoJoon ParkMinYoung LeeTaeHwan KangKiYoung Chansung PyoYeJin KimHyeOk KimByungOk HwangBoRa LeeYooJoon LeeJungMin KimJungWoon KangHongSeok HongJiYoon KimYeWon ParkJoonHwa YooJongSun JungKyungYoon JungEunYoung
Devilish Joy,Romance KoreanDrama ChoiJinHyuk SongHaYoon LeeHoWon LeeJooYeon KimGaRam ChoiJiYeon
I Am Not a Robot,Drama KoreanDrama Comedy Romance YooSeungHo ChaeSooBin UhmKiJoon HwangSeungEon KangKiYoung SeoDongWon UhmHyoSup KimKiDoo SonByungHo KimMinKyu(1988) KimHaKyoon ParkSeWan LeeMinJi(1988) LeeByungJoon JungDaeYoon KimSeonMi
Suspicious Partner,KoreanDrama Drama Romance Comedy Thriller&Suspense JiChangWook NamJiHyun ChoiTaeJoon Nara KimYeWon(1987) LeeDeokHwa JangHyukJin NamGiAe JinJuHyung KimHongFa DongHa ParkSunHo KwonKiYoung
Weightlifting Fairy Kim Bok Joo,Romance Sports Drama KoreanDrama NamJooHyuk LeeSungKyung LeeJaeYoon KyungSooJin ChoiMooSung JungInKi JiIlJoo JangYoungNam KangKiYoung JoHyeJung LeeJooYoung OhHyunJong YangHeeSeung
My Only One,Family&Kids KoreanDrama Drama Uee LeeJangWoo NaHyeMi YoonJinYi ChoiSooJong ParkSungHoon ImYeJin JungEunWoo ChaHwaYun JinKyung ParkSangWon JungJaeSun HongSeokKu KimSaKyung
W,KoreanDrama Romance Drama Thriller&Suspense Sci-Fi&Fantasy LeeJongSuk HanHyoJoo LeeTaeHwan JungYooJin LeeSiEon KangKiYoung ParkWonSang KimEuiSung ChaKwangSoo NamGiAe JungDaeYoon SongJaeJung
The Crowned Clown,Historical Romance KoreanDrama Costume&Period YeoJinGoo LeeSeYoung KimSangKyung JungHyeYoung KwonHaeHyo JangGwang JangYoungNam YoonKyungHo LeeMooSaeng KimHeeWon KimSunDeok ShinHaEun
Running Man,Lifestyle&Variety Entertainment VarietyShow YooJaeSuk Haha SongJiHyo KimJongKook LeeKwangSoo JiSukJin JunSoMin LeeHwanJin JoHyojin KimJoohyung ImHyungtaek
Strong Woman Do Bong Soon,Romance KoreanDrama Drama IdolDrama Comedy Sci-Fi&Fantasy ParkBoYoung ParkHyungSik JiSoo AnWooYeon KimMinKyo YooJaeMyung ShimHyeJin KimWonHae SeolInAh JooHo JangMiKwan ParkBoMi JeonSukHo ImWonHee KimWonSuk LeeHyeongMin BaekMiKyeong
The Legend of the Blue Sea,Romance Sci-Fi&Fantasy KoreanDrama Drama LeeMinHo JunJiHyun ShinHyeSun LeeHeeJoon ShinWonHo SungDongIl MoonSoRi LeeJiHoon HwangShinHye Jinyoung(GOT7) OhYeonAh JinHyeok ParkJiEun
While You Were Sleeping,Drama KoreanDrama Romance Sci-Fi&Fantasy LeeJongSuk Suzy JungHaeIn ShinJaeHa LeeSangYeob ParkJinJoo MinSungWook GoSungHee KimWonHae LeeJaeKyoon BaeHaeSun KimDaYe OhChoongHwan ParkSooJin ParkHyeRyun
Descendants of the Sun,KoreanDrama Drama Romance Melodrama MedicalDrama SongJoongKi SongHyeKyo JinGoo KimJiWon Onew KimMinSuk LeeSeungJoon HyunJyuNi LeeYiKyung DavidMcInnis KangShinIl JiSeungHyun ParkHwanHee KimByungChul AhnBoHyun JoJaeYoon SeoJeongYeon JunSooJin JasperCho LeeEungBok BaekSangHoon YooJongSun KimEunSook KimWonSuk
Where Stars Land,IdolDrama KoreanDrama Romance LeeJeHoon ChaeSooBin LeeDongGun Rowoon KimJiSoo KimKyungNam LeeSookyung(1996) LeeSungWook HongJiMin JangHyunSung ShinWooCheol KangEunKyung
Oh My Venus,Drama KoreanDrama Romance Comedy SoJiSub ShinMinAh JungGyuWoon YooInYoung SungHoon HenryLau JungHyeSung KwonKiSun NamGiAe KimHyungSuk LeeNaJeong KimEunJi
A Pledge to God,Family&Kids Drama Melodrama KoreanDrama HanChaeYoung LeeChunHee OhYoonAh BaeSooBin LeeHwiHyang ParkGeunHyung ByungHun KangBooJa OhHyunKyung KimHeeJung BaeHaeSun ChoiPhillip YoonJaeMoon HongYoungHee
Hwarang,"Historical Romance Drama KoreanDrama IdolDrama ParkSeoJoon GoAra ParkHyungSik ChoiMinho DoJiHan JoYoonWoo ""KimTaehyung(BTSsV)"" SungDongIl KimJiSoo ChoiWonYoung SeoYeJi LeeDaIn JinJuHyung YunSeongSik ParkEunYoung"
My Love From the Star,Drama Romance Sci-Fi&Fantasy KoreanDrama JunJiHyun KimSooHyun ParkHaeJin YooInNa ShinSungRok AhnJaeHyun NaYoungHee KimKangHyun LeeIlHwa KimBoMi KimHyunSoo JangTaeYoo OhChoongHwan ParkJiEun
Revenge Note 2,Romance Comedy WebDrama KoreanDrama Samuel AhnSeoHyun KimSoHee JiMinHyuk KimJiYoung ParkHeeJin SeoYuri ParkSeoYeon SungJiRu JungJungAh JungMinKyu OhSeungYul SeoJaeJoo HanSangIm KimJongSun ShimMiSun
Boys Over Flowers,Comedy KoreanDrama Drama Romance LeeMinHo KuHyeSun KimHyunJoong KimBum KimJoon ParkJiBin NamDaReum ParkSooJin KimSoEun KimHyunJoo HanChaeYoung ImJooHwan AhnSukHwan SeoMinJi YasuharuIshii OsamuKatayama DaisukeYamamuro YokoKamio YukiFujimoto
Tempted,Drama KoreanDrama IdolDrama Melodrama Thriller&Suspense Romance WooDoHwan Joy MoonGaYoung KimMinJae(1996) KimSeoHyung ShinSungWoo JeonMiSun MoonHeeKyung LeeYoungJin OhHaNee TaeHangHo KimAhRa LeeJaeKyoon JungHaDam ShinChangJoo KimDoWan KwonYil KangIn LeeDongHyun PierreChoderlosdeLaclos KimBoYeon
Healer,Action&Adventure Drama KoreanDrama Romance YooJiTae ParkMinYoung JiChangWook WooHyun JungJunWon KimMiKyung ParkSangMyun ParkSangWon DoJiWon LeeJungSub KimJinWoo SongJiNa
Father Is Strange,IdolDrama Romance KoreanDrama Family&Kids Comedy Drama LeeYooRi RyuSooYoung LeeJoon JungSoMin RyuHwayoung KimHaeSook KimYoungChul MinJinWoong JungJunWon LeeMiDo AhnHyoSeop LeeJoonHyuk KimDaYe LeeJaeSang LeeJungSun
Fated to Love You,Comedy Drama Romance KoreanDrama Melodrama ChoiWooShik WangJiWon ChoiJinHyuk JangNara JangHyuk KimYoungHoon ParkHeeBon JungKyuSoo ChoiDaeChul JangGwang ParkJinWoo Clara SongOkSook JungEunPyo LeeMiDo ImHyungJoon ParkWonSook JungHanHun KimYongGun NaYoungHee ParkHeeJin YangKeumSuk YunMiJoo HanGyu LeeDongYoon KimHeeWon JooChanOk JoJinKuk
My Healing Love,Melodrama Drama Family&Kids KoreanDrama SoYooJin YeonJungHoon YoonJongHoon KimChangWan KilYongWoo JungAeRi ParkJoonGeum HwangYoungHee KwonSoHyun KimSoRa SoJuYeon KangDaHyun BanHyoJung KimSungYong WonYoungOk
Because This Is My First Life,KoreanDrama Romance LeeMinKi JungSoMin KimGaEun ParkByungEun Esom MoonHeeKyung KimMinSuk JunHyeWon YoonBomi KimSunYoung(1976) KimByungOk NohJongHyun KimMinKyu ParkJoonHwa YoonNanJoong
The Smile Has Left Your Eyes,Romance Drama KoreanDrama IdolDrama Melodrama SeoInGuk JungSoMin ParkSungWoong SeoEunSoo LeeHongbin DoSangWoo LeeJiMin GoMinSi HanSaMyung ParkMinJung KimSeoKyung JangYoungNam ChoiByungMo KwonSooHyun YooJeWon SongHyeJin
Pinocchio,Drama KoreanDrama Romance LeePilMo ParkShinHye LeeJongSuk LeeYooBi KimYoungKwang MinSungWook YoonKyunSang LeeJooSeung KimHaeSook KimYoungHoon KimKwangGyu YeoHoeHyun JungInKi NamDaReum ShinJaeHa JangYoungNam ShinJungGeun KangShinIl NohJungUi JinKyung ByunHeeBong TaeHangHo JoSooWon ParkHyeRyun
Just Between Lovers,KoreanDrama IdolDrama Melodrama Drama Romance Junho WonJinAh LeeKiWoo KangHanNa KimMinKyu ParkMyungShin ParkHeeBon YoonSeAh KimKangHyun NaMoonHee TaeInHo ParkSiEun(2001) NamDaReum HanSeoJin(2008) AhnNaeSang ParkKyuYoung YoonYooSun NamGiAe KimHyeJoon KimNamJin KimJinWon YooBoRa
Wok of Love,Drama KoreanDrama Comedy Romance Food&Cooking JangHyuk JungRyeoWon Junho LeeMiSook JoJaeYoon ParkJiYoung ChaJooYoung JangHuiRyoung LeeKiHyuk TaeHangHo KimHyunJun ChaInHa ChoiWonMyeong KimSaKwon ImWonHee OhEuiSik HongYoonHwa ParkSunHo HamJoonHo SeoSookHyang
Fight My Way,Drama KoreanDrama Romance Comedy ParkSeoJoon KimJiWon AhnJaeHong SongHaYoon JinJiHee ChaeDongHyun PyoYeJin KimSungOh JinHeeKyung SonByungHo KwakDongYeon ChoiWooShik HwangBoRa LeeElijah KimYeRyung LeeNaJeong ImSangChoon
Doctors,MedicalDrama Romance KoreanDrama Drama KimRaeWon ParkShinHye YoonKyunSang LeeSungKyung JiSoo KimMinSuk BaekSungHyun LeeSunHo JungHaeKyun JeonGookHwan JangHyunSung UhmHyoSup KimKangHyun YoonHaeYoung MoonJiIn YooDaIn KimYoungAe HanBoBae NamgoongMin PyoYeJin OhChoongHwan ParkSooJin HaMyungHee
Moonlight Drawn by Clouds,Historical KoreanDrama Romance Drama IdolDrama ParkBoGum KimYooJung Jinyoung(B1A4) ChaeSooBin JungHyeSung KwakDongYeon JangGwang ParkChulMin KimSeungSoo ChunHoJin LeeJoonHyuk HeoJungEun TaeHangHo KimSungYoon BaekSangHoon YoonYiSoo kk KimMinJung ImYeJin
Hwayugi,IdolDrama Romance Sci-Fi&Fantasy KoreanDrama LeeSeungGi ChaSeungWon OhYeonSeo LeeHongKi LeeSeYoung LeeEl KimSungOh SungJiRu JangGwang KimJiSoo SongJongHo SungHyuk MichaelLee ONE Bora LeeSoYeon ParkHongKyun KimJungHyun KimByungSoo HongJungEun HongMiRan
Come and Hug Me,Thriller&Suspense Romance Crime&Mystery Drama KoreanDrama JangKiYong JinKiJoo HeoJoonHo RyuHanBi NamDaReum ChoiRi YoonJiHye LeeDaIn JungDaHye YoonJongHoon KimKyungNam KwonHyukSoo ChoiJoonBae LeeARam
Children of Nobody,Crime&Mystery Thriller&Suspense Drama KoreanDrama LeeYiKyung KimSunAh NamGyuRi N NaYoungHee KimYoungJae JooSukTae KimYeoJin YeonJaeHyeong KimPubLae KimYoungJae OhHyeWon HaEunSoo ChoiJungKyu DoHyunJung
When Time Stopped,Sci-Fi&Fantasy Romance Comedy KimHyunJoong AnJiHyun LeeShiHoo InGyoJin JooSukTae ImHaRyong GoEunMi KimSieun BaekSangHee YooEunJin KimYangWoo KwakBongCheol JiHoJin
Secret Garden,Sci-Fi&Fantasy KoreanDrama Drama Romance Melodrama Comedy YoonSangHyun HaJiWon HyunBin KimSaRang LeeJongSuk KimSungOh YooInNa LeePhilip KimDongGyoon KangChanYang YoonGiWon KimSaHee ParkJoonGeum Beige KimGun BaekSeungHee ChoiYoonSo KimSungKyum SungByungSook NamHyunJoo KimJiSook JangSeoWon YooSeoJin BaekJiYoung KimMiKyung LeeByungJoon ShinWooCheol KwonHyukChan KimJungHyun KimEunSook
"Coffee, Do Me a Favor",Sci-Fi&Fantasy Romance Comedy KoreanDrama IdolDrama YongJunhyung KimMinYoung ChaeSeoJin LeeTaeRi GilEunHye RyuHyeRin MaengSeChang KimNeulMae ParkSooChul SeoBoRa LeeAYeon
