director,screenwriter,title
Jo Soo-Won,Jo Sung-Hee,Thirty But Seventeen
Jung Dong-Yoon,Kang Cheol-Woong,Fates and Furies
Joo Dong-Min,Kim Sun-Ok,The Last Empress
Park Shin-Woo,Yoo Young-A,Encounter
Ham Joon-Ho,Kim Yoon-Young,My Strange Hero
"Park Joon-Hwa, Yoo Jong-Sun","Jung Kyung-Yoon (novel), Jung Eun-Young",What’s Wrong With Secretary Kim
Kim Ga-Ram,Choi Ji-Yeon,Devilish Joy
Jung Dae-Yoon,Kim Seon-Mi,I Am Not a Robot
Park Sun-Ho,Kwon Ki-Young,Suspicious Partner
Oh Hyun-Jong,Yang Hee-Seung,Weightlifting Fairy Kim Bok Joo
Hong Seok-Ku,Kim Sa-Kyung,My Only One
Jung Dae-Yoon,Song Jae-Jung,W
Kim Hee-Won,"Kim Sun-Deok, Shin Ha-Eun",The Crowned Clown
Lee Hwan-Jin,"Jo Hyo-jin, Kim Joo-hyung, Im Hyung-taek",Running Man
Lee Hyeong-Min,Baek Mi-Kyeong,Strong Woman Do Bong Soon
Jin Hyeok,Park Ji-Eun,The Legend of the Blue Sea
"Oh Choong-Hwan, Park Soo-Jin",Park Hye-Ryun,While You Were Sleeping
"Lee Eung-Bok, Baek Sang-Hoon, Yoo Jong-Sun","Kim Eun-Sook, Kim Won-Suk",Descendants of the Sun
Shin Woo-Cheol,Kang Eun-Kyung,Where Stars Land
"Kim Hyung-Suk, Lee Na-Jeong",Kim Eun-Ji,Oh My Venus
Yoon Jae-Moon,Hong Young-Hee,A Pledge to God
Yun Seong-Sik,Park Eun-Young,Hwarang
"Jang Tae-Yoo, Oh Choong-Hwan",Park Ji-Eun,My Love From the Star
"Oh Seung-Yul, Seo Jae-Joo","Han Sang-Im, Kim Jong-Sun, Shim Mi-Sun",Revenge Note 2
"Yasuharu Ishii, Osamu Katayama, Daisuke Yamamuro","Yoko Kamio, Yuki Fujimoto",Boys Over Flowers
"Kang In, Lee Dong-Hyun","Pierre Choderlos de Laclos (novel), Kim Bo-Yeon",Tempted
"Lee Jung-Sub, Kim Jin-Woo",Song Ji-Na,Healer
Lee Jae-Sang,Lee Jung-Sun,Father Is Strange
"Lee Dong-Yoon, Kim Hee-Won","Joo Chan-Ok, Jo Jin-Kuk",Fated to Love You
Kim Sung-Yong, Won Young-Ok,My Healing Love
