# episodes,genre,network,rating,s_rating,title,cast
32,"['23g', '9g', '18g', '6g', '7g']",SBS,9.58,PG-13,Thirty But Seventeen,
36,"['18g', '1041g', '23g']",SBS,8.73,PG-13,Fates and Furies,
42,"['23g', '9g', '18g']",SBS,9.45,PG-13,The Last Empress,
16,"['18g', '23g']",tvN,9.56,PG-13,Encounter,
32,"['18g', '1041g', '9g', '23g']",SBS,9.55,PG-13,My Strange Hero,
16,"['23g', '1038g', '18g']",tvN,9.72,PG-13,What’s Wrong With Secretary Kim,
16,"['18g', '23g']","MBN, Dramax",9.15,PG-13,Devilish Joy,
33,"['9g', '23g', '6g', '18g']",MBC,9.67,PG-13,I Am Not a Robot,
40,"['23g', '9g', '18g', '6g', '26g']",SBS,9.63,PG-13,Suspicious Partner,
16,"['18g', '20g', '9g', '23g']",MBC,9.75,PG-13,Weightlifting Fairy Kim Bok Joo,
82,"['24g', '23g', '9g']",KBS,9.03,PG-13,My Only One,
17,"['23g', '18g', '9g', '26g', '19g']",MBC,9.69,PG-13,W,
9,"['1037g', '18g', '23g', '25g']",tvN,9.73,PG-13,The Crowned Clown,
96,"['14g', '10g', '1044g']",SBS,9.29,PG-13,Running Man,
17,"['18g', '23g', '9g', '1038g', '6g', '19g']",JTBC,9.77,PG-13,Strong Woman Do Bong Soon,
23,"['18g', '19g', '23g', '9g']",SBS,9.6,PG-13,The Legend of the Blue Sea,
16,"['9g', '23g', '18g', '19g']",SBS,9.68,PG-13,While You Were Sleeping,
19,"['23g', '9g', '18g', '1041g', '1040g']",KBS,9.75,PG-13,Descendants of the Sun,
32,"['1038g', '23g', '18g']",SBS,9.24,PG-13,Where Stars Land,
16,"['9g', '23g', '18g', '6g']",KBS,9.65,PG-13,Oh My Venus,
40,"['24g', '9g', '1041g', '23g']",MBC,9.15,PG-13,A Pledge to God,
20,"['1037g', '18g', '9g', '23g', '1038g']",KBS,9.62,PG-13,Hwarang,
22,"['9g', '18g', '19g', '23g']",SBS,9.63,PG-13,My Love From the Star,
32,"['18g', '6g', '1045g', '23g']",XtvN,9.35,PG-13,Revenge Note 2,
25,"['6g', '23g', '9g', '18g']",KBS2,9.43,PG-13,Boys Over Flowers,
32,"['9g', '23g', '1038g', '1041g', '26g', '18g']",MBC,9.33,PG-13,Tempted,
20,"['1g', '9g', '23g', '18g']",KBS,9.77,PG-13,Healer,
52,"['1038g', '18g', '23g', '24g', '6g', '9g']",KBS,9.69,PG-13,Father Is Strange,
20,"['6g', '9g', '18g', '23g', '1041g']",MBC,9.56,PG-13,Fated to Love You,
64,"['1041g', '9g', '24g', '23g']",MBC,8.96,PG-13,My Healing Love,
16,"['23g', '18g']",tvN,9.66,PG-13,Because This Is My First Life,
16,"['18g', '9g', '23g', '1038g', '1041g']",tvN,9.56,PG-13,The Smile Has Left Your Eyes,
20,"['9g', '23g', '18g']",SBS,9.51,PG-13,Pinocchio,
16,"['23g', '1038g', '1041g', '9g', '18g']",JTBC,9.63,PG-13,Just Between Lovers,
38,"['9g', '23g', '6g', '18g', '1053g']",SBS,9.36,PG-13,Wok of Love,
16,"['9g', '23g', '18g', '6g']",KBS,9.62,PG-13,Fight My Way,
20,"['1040g', '18g', '23g', '9g']",SBS,9.3,PG-13,Doctors,
19,"['1037g', '23g', '18g', '9g', '1038g']",KBS,9.63,PG-13,Moonlight Drawn by Clouds,
20,"['1038g', '18g', '19g', '23g']",tvN,9.65,PG-13,Hwayugi,
32,"['26g', '18g', '7g', '9g', '23g']",MBC,9.49,PG-13,Come and Hug Me,
32,"['7g', '26g', '9g', '23g']",MBC,9.53,PG-13,Children of Nobody,
12,"['19g', '18g', '6g']",KBS W,9.34,PG-13,When Time Stopped,
20,"['19g', '23g', '9g', '18g', '1041g', '6g']",SBS,9.38,PG-13,Secret Garden,
12,"['19g', '18g', '6g', '23g', '1038g']",Channel A,8.2,PG-13,"Coffee, Do Me a Favor",
17,"['23g', '1038g', '18g']","MBN, Dramax",8.84,PG-13,"Rich Man, Poor Woman",
33,"['6g', '18g', '9g', '23g', '19g', '1041g']",KBS,9.33,PG-13,Feel Good To Die,
20,"['12g', '1040g', '19g', '18g', '23g', '1g']",KBS2,9.18,PG-13,Blood,
24,"['6g', '23g', '9g', '18g', '19g']",MBC,9.1,PG-13,Goong,
13,"['1044g', '10g']",MBC,9.44,PG-13,UNDER NINETEEN,
16,"['1038g', '9g', '23g', '18g']",KBS,9.4,PG-13,School 2017,
16,"['23g', '18g', '26g', '1038g']",KBS2,9.38,PG-13,Who Are You,
32,"['9g', '18g', '23g', '1041g']",MBC,9.25,PG-13,Hotel King,
16,"['18g', '23g', '1038g']",tvN,8.52,PG-13,Mama Fairy and the Woodcutter,
16,"['6g', '23g', '9g', '18g']",MBC,9.02,PG-13,Playful Kiss,
12,"['19g', '18g', '1038g', '23g']",MBN,9.3,PG-13,Witch's Love,
12,"['18g', '6g', '1g', '1045g', '1038g', '23g']",Oksusu,9.33,PG-13,Revenge Note 1,
20,"['6g', '18g', '1040g', '23g']",MBC,9.73,PG-13,Kill Me Heal Me,
17,"['12g', '18g', '19g', '23g']",SBS,9.57,PG-13,Master’s Sun,
60,"['23g', '9g', '25g', '18g', '3g']",MBC,9.55,PG-13,Dong Yi,
17,"['6g', '23g', '9g', '18g', '1053g']",MBC,9.43,PG-13,Coffee Prince,
16,"['23g', '18g']",MBN,8.27,PG-13,Love Alert,
11,"['24g', '9g', '23g', '1038g', '6g']","MBN, Dramax",8.91,PG-13,The Best Chicken,
20,"['6g', '18g', '19g', '23g', '1038g']",KBS,9.24,PG-13,Hi! School - Love On,
16,"['23g', '18g', '9g']",SBS,9.16,PG-13,To the Beautiful You,
55,"['1044g', '10g', '6g']",SBS,9.75,PG-13,Master in the House,
16,"['6g', '9g', '18g', '23g']",MBC,9.39,PG-13,Cunning Single Lady,
16,"['9g', '23g', '1041g', '18g', '6g', '1038g']",KBS,9.27,PG-13,Radio Romance,
190,"['14g', '10g', '1042g', '1044g']",KBS,9.03,PG-13,The Return of Superman,
50,"['23g', '18g', '9g', '1053g']",MBC,8.93,PG-13,A Hundred Years' Inheritance,
20,"['23g', '9g', '18g', '25g', '19g', '1037g']",MBC,9.54,PG-13,The Moon Embracing the Sun,
