,rating,title,user
0,10,Fates and Furies,1300803906674618_887
1,10,Fates and Furies,rooryonline_406
2,10,Fates and Furies,talangomonica10_536
3,1,Fates and Furies,dmvargas17_165
4,9,Fates and Furies,cathouii_
5,10,Fates and Furies,melltaffy1_440
6,10,Fates and Furies,monxe_rr_941
7,10,Fates and Furies,kris241190_665
8,10,Fates and Furies,beatrizl
9,10,Fates and Furies,livelifethebest2345_761
10,10,Fates and Furies,filosofa_456_301
11,10,Fates and Furies,jansen_gray
12,10,Fates and Furies,eddiepeppers16_954
13,10,Fates and Furies,mariadeleonb39_15
14,10,Fates and Furies,maludc81_857
15,10,Fates and Furies,mmaaiiaattoo
16,10,Fates and Furies,jeda13_584
17,10,Fates and Furies,pelusa_10_sep_23
18,10,Fates and Furies,143428676189572_645
19,10,Fates and Furies,Dmartz_19
20,10,Fates and Furies,lizadizon_757
21,10,Fates and Furies,radone_ariicho_872
22,9,Fates and Furies,dblair924_464
23,10,Fates and Furies,marzul1429_561
24,10,Fates and Furies,queencherry
25,10,Fates and Furies,evazamora_do_70
26,10,Fates and Furies,lanie8_2
27,10,Fates and Furies,z34181
28,10,Fates and Furies,SaraT81
29,10,Fates and Furies,kauanoe
30,10,Fates and Furies,mcdee
31,10,Fates and Furies,Freshbreeze04
32,10,Fates and Furies,gbalais537_633
33,10,Fates and Furies,emilynguyen_2
34,10,Fates and Furies,camilaaldana991_911
35,10,Fates and Furies,geunsuk24_71
36,10,Fates and Furies,cely_fontanez
37,10,Fates and Furies,10211629486909224_874
38,10,Fates and Furies,therover
39,10,Fates and Furies,dilsia296_183
40,10,Fates and Furies,joanne_matsuoka
41,8,Fates and Furies,deesogun_377
42,10,Fates and Furies,chatnoirisyobae
43,10,Fates and Furies,diasrdia_13
44,10,Fates and Furies,abir77
45,10,Fates and Furies,karmayang_633
46,10,Fates and Furies,charopm119_644
47,10,Fates and Furies,bookdragonfly_265
48,9,Fates and Furies,nealj2003_276
49,10,Fates and Furies,line_demers_999
50,10,Fates and Furies,sosayang
51,10,Fates and Furies,amay_lee
52,6,Fates and Furies,lillianyang93_296
53,10,Fates and Furies,genie8820099_20
54,10,Fates and Furies,l_onlyme23_467
55,10,Fates and Furies,yanina_cuevas699_945
56,10,Fates and Furies,bebot_brown
57,10,Fates and Furies,mezesjane_399
58,10,Fates and Furies,katherinenana77_983
59,10,Fates and Furies,linda89sh_864
60,10,Fates and Furies,nixrix
61,10,Fates and Furies,yossielena_449
62,8,Fates and Furies,antonello4_651
63,10,Fates and Furies,ana_desposorio
64,10,Fates and Furies,sol_tj07_139
65,9,Fates and Furies,sandra_joelma1_428
66,3,Fates and Furies,heiysha_ktr_634
67,9,Fates and Furies,kmax
68,10,Fates and Furies,atlkdramafan
69,10,Fates and Furies,vannitakularb
70,10,Fates and Furies,gia095
71,10,Fates and Furies,may_g_manisap
72,10,Fates and Furies,fely10960_757
73,6,Fates and Furies,fanviki2017
74,10,Fates and Furies,anaflores1977_604
75,10,Fates and Furies,puni8949_78
76,10,Fates and Furies,kleapatra7
77,10,Fates and Furies,amendonca_284
78,10,Fates and Furies,bernadette1970
79,10,Fates and Furies,diptobala7_603
80,10,Fates and Furies,azeneth_4
81,10,Fates and Furies,daniellecameron28_624
82,10,Fates and Furies,carmelahariyani_100
83,10,Fates and Furies,hanyojeong
84,10,Fates and Furies,givemekeopi
85,10,Fates and Furies,asiamarks
86,10,Fates and Furies,hilohattie999_572
87,10,Fates and Furies,suey73
88,10,Fates and Furies,hhaymou_921
89,9,Fates and Furies,ameeyang_2
90,9,Fates and Furies,guillvoy2000_970
91,10,Fates and Furies,kriyalatangangkham_850
92,10,Fates and Furies,britaney_gaither
93,10,Fates and Furies,theiyer_26_761
94,4,Fates and Furies,saumyac91_822
95,9,Fates and Furies,millie_padin
96,10,Fates and Furies,edith888
97,8,Fates and Furies,norma_gonzalez_4
98,10,Fates and Furies,gigi_lay
99,10,Fates and Furies,tayna_wany_218
100,10,Fates and Furies,pitty_445
101,10,Fates and Furies,114649919219535_595
102,10,Fates and Furies,Ejudale
103,10,Fates and Furies,maricelrockwell_243
104,10,Fates and Furies,kfriram_955
105,10,Fates and Furies,fortuperezu_506
106,10,Fates and Furies,alexsandra_macareno
107,10,Fates and Furies,rayafenty2020_798
108,10,Fates and Furies,pagos_796
109,10,Fates and Furies,anitacosta190_562
110,10,Fates and Furies,phoyang_483
111,10,Fates and Furies,charltina
112,10,Fates and Furies,1798494403756598_542
113,10,Fates and Furies,analimacristina2017_730
114,10,Fates and Furies,kimberly_mendoza_sal_147
115,10,Fates and Furies,gabrielgoldemberg
116,10,Fates and Furies,irisdosreislbf_640
117,10,Fates and Furies,varms
118,10,Fates and Furies,chopmedic1_352
119,10,Fates and Furies,franksnelia003_258
120,10,Fates and Furies,mayteh47_468
121,10,Fates and Furies,lita_dlc4_895
122,10,Fates and Furies,jenniferabatz_861
123,10,Fates and Furies,pooja1802al_617
124,10,Fates and Furies,lillycristal24
125,8,Fates and Furies,liobhan_514
126,10,Fates and Furies,manjarespamela_137
127,10,Fates and Furies,suzana_cynara
128,6,Fates and Furies,hermine_voltaire_914
129,10,Fates and Furies,dulc19741974_835
130,10,Fates and Furies,leemotaula22_582
131,10,Fates and Furies,ljblavatai801
132,10,Fates and Furies,noemalapira_727
133,10,Fates and Furies,cicicuore2000_916
134,10,Fates and Furies,litobautista_310
135,10,Fates and Furies,priszant_643
136,10,Fates and Furies,leighlovessimon_145
137,10,Fates and Furies,duplanadriana_923
138,10,Fates and Furies,hmaristela_288
139,2,Fates and Furies,lanamohanty
140,8,Fates and Furies,indujathamizharasu_639
141,10,Fates and Furies,gosik115_951
