,rating,title,user
0,10,Fates and Furies,carouwo_3
1,10,Fates and Furies,irishbuzz1
2,5,Fates and Furies,stephanieriis_141
3,6,Fates and Furies,keniareina21_111
4,10,Fates and Furies,ucsprmdl28_315
5,3,Fates and Furies,sweetdavis23_443
6,10,Fates and Furies,siphorapradhan86_558
7,10,Fates and Furies,minutes5_517
8,1,Fates and Furies,thutran180_79
9,10,Fates and Furies,capricornio_as_507
10,3,Fates and Furies,anh_doan_7
11,9,Fates and Furies,capistrano_kt_128
12,10,Fates and Furies,maykoxiong
13,4,Fates and Furies,abena85
14,7,Fates and Furies,pkalili_234
15,5,Fates and Furies,tsao_411
16,4,Fates and Furies,memckay_589
17,9,Fates and Furies,sarahtongomo_91
18,7,Fates and Furies,chami0
19,10,Fates and Furies,1172144566217502_463
20,1,Fates and Furies,2149289855340290_937
21,10,Fates and Furies,shellarose1_68
22,5,Fates and Furies,kali_adia_164
23,7,Fates and Furies,ymontanez10_94
24,1,Fates and Furies,ann_n82_905
25,10,Fates and Furies,benny_agbayani
26,6,Fates and Furies,shoegirl8212_633
27,9,Fates and Furies,sdafa321_868
28,10,Fates and Furies,dorothy_edna_69
29,10,Fates and Furies,peppapig1239_82
30,2,Fates and Furies,apekaimane_158
31,3,Fates and Furies,kpmayon1_944
32,8,Fates and Furies,smithashetty4258_357
33,10,Fates and Furies,badran_adan
34,10,Fates and Furies,buggygirl
35,10,Fates and Furies,gaiathera_891
36,6,Fates and Furies,r_bozman_560
37,4,Fates and Furies,luzvimindar_fajardo1_502
38,10,Fates and Furies,ruti_14_810
39,10,Fates and Furies,loydasala17_568
40,10,Fates and Furies,griselda_alarcon_334
41,3,Fates and Furies,bjbyrom
42,10,Fates and Furies,raquelesquivel2011_611
43,4,Fates and Furies,mami_jenny_855
44,10,Fates and Furies,chrisi123kpop_759
45,6,Fates and Furies,52476637628816788689
46,10,Fates and Furies,flaud_1976_373
47,10,Fates and Furies,jetyrianadj
48,8,Fates and Furies,helenildaraujo_435
49,10,Fates and Furies,simizioana_857
50,10,Fates and Furies,jocyperini_326
51,10,Fates and Furies,pinkpoodle
52,10,Fates and Furies,mmm1mom_800
53,5,Fates and Furies,ksthrnlghts
54,10,Fates and Furies,xelosoriano65_635
55,7,Fates and Furies,lee3cats
56,9,Fates and Furies,kirsti_a_siira
57,10,Fates and Furies,_yong_pal_
58,5,Fates and Furies,lanusnariza_714
59,10,Fates and Furies,emesvee26_246
60,6,Fates and Furies,rae_star_161
61,10,Fates and Furies,luisiana9904_470
62,10,Fates and Furies,yazairavalenzuela88_396
63,1,Fates and Furies,rqlramos9_647
64,2,Fates and Furies,dianesoaresnef_344
65,10,Fates and Furies,shadowjones12_508
66,7,Fates and Furies,so9975_191
67,7,Fates and Furies,buddacanty_768
68,10,Fates and Furies,adrianasantana0439_999
69,1,Fates and Furies,perlitha12323_820
70,10,Fates and Furies,tropicalms
71,10,Fates and Furies,7309rl_365
72,10,Fates and Furies,507936626378335_186
73,9,Fates and Furies,laylaloves18_799
74,10,Fates and Furies,gamagu_27_905
75,10,Fates and Furies,caenf24_257
76,10,Fates and Furies,rmheyward_736
77,10,Fates and Furies,magiccasements
78,1,Fates and Furies,fernandabrazpontes_182
79,9,Fates and Furies,cyamiley_993
80,6,Fates and Furies,jacqueline5859_622
81,10,Fates and Furies,chicky1175_394
82,10,Fates and Furies,noris_velazquez_970
83,10,Fates and Furies,classy27d_983
84,5,Fates and Furies,amsdpvsf_280
85,10,Fates and Furies,marphilnkc3_908
86,10,Fates and Furies,vialester_214
87,7,Fates and Furies,rj_slvrblt_718
88,6,Fates and Furies,krystal_02w_79
89,4,Fates and Furies,marcianatura27_104
90,10,Fates and Furies,artchick16_480
91,10,Fates and Furies,kenzoamour
92,10,Fates and Furies,217181272261706_47
93,10,Fates and Furies,kytara30_157
94,10,Fates and Furies,mikailabianca143_645
95,10,Fates and Furies,melissan2583_952
96,10,Fates and Furies,jeenie4
97,4,Fates and Furies,normacontreras1321_104
98,10,Fates and Furies,lina_8dz_758
99,10,Fates and Furies,cheryljonz782_665
100,10,Fates and Furies,t2nguyen02_460
101,10,Fates and Furies,angelight313_168
102,8,Fates and Furies,ankisalu_464
103,9,Fates and Furies,helloadmon_993
104,10,Fates and Furies,meiby31_mv_262
105,10,Fates and Furies,brunalohanaaires_643
106,10,Fates and Furies,carrijoel_640
107,10,Fates and Furies,rayaneyocca_787
108,8,Fates and Furies,myvanglo_86
109,10,Fates and Furies,ahansen369_260
110,10,Fates and Furies,icasianoa_171
111,10,Fates and Furies,the_dorota_97
112,9,Fates and Furies,1378022158931225_293
113,9,Fates and Furies,thedevilkitty2_gm_278
114,10,Fates and Furies,reemalam145_556
115,10,Fates and Furies,giselesoaresdesousa_688
116,10,Fates and Furies,jemajo5_843
117,1,Fates and Furies,patriarcha
118,10,Fates and Furies,672296889579292_920
119,10,Fates and Furies,danyelistp_701
120,9,Fates and Furies,53030802862592717196
121,10,Fates and Furies,gloria_maestre
122,9,Fates and Furies,fapconsorcios_976
123,7,Fates and Furies,maddyson_627
124,10,Fates and Furies,snowglobeglitter
125,8,Fates and Furies,lisafitzgerald10_715
126,10,Fates and Furies,50628281648200862721
127,5,Fates and Furies,deysiag29_198
128,10,Fates and Furies,saide_aninha_132
129,10,Fates and Furies,srivastavameenu130_716
130,10,Fates and Furies,nymiemie_463
131,9,Fates and Furies,uni_credito_samara_283
132,10,Fates and Furies,kathia_moraes_279
133,10,Fates and Furies,laurakg21_992
134,10,Fates and Furies,sazzle
135,10,Fates and Furies,lissecunha
136,10,Fates and Furies,juracosta1410_358
137,1,Fates and Furies,damarest_972
138,10,Fates and Furies,wardahshahzad_594
139,10,Fates and Furies,kaosidy_852
140,10,Fates and Furies,vera1antonio_74
141,10,Fates and Furies,amypylee_255
142,10,Fates and Furies,276780066285436_19
143,10,Fates and Furies,doozeit79_364
144,9,Fates and Furies,veenus_kalkal_419
145,10,Fates and Furies,gloria_arzate_lopez
146,1,Fates and Furies,phatricia210280_987
147,10,Fates and Furies,yelyeisa
148,8,Fates and Furies,mk95755
149,10,Fates and Furies,vvmarimla14_314
150,10,Fates and Furies,athena_goddess
151,9,Fates and Furies,indisong_716
152,10,Fates and Furies,guerlinew39_730
153,10,Fates and Furies,sharonoreo88_143
154,10,Fates and Furies,ritawhitaker66_505
155,10,Fates and Furies,gomesgenarioana_454
156,10,Fates and Furies,farfalla_2
157,10,Fates and Furies,allrosepajo_559
158,10,Fates and Furies,snehapotsangbam_596
159,10,Fates and Furies,dafne88
160,10,Fates and Furies,archanavijayarangan6_701
161,10,Fates and Furies,maritohmaoate_942
162,10,Fates and Furies,marymazamg_243
163,10,Fates and Furies,lopez_c_sara1h_46
164,10,Fates and Furies,340046346457105_962
165,9,Fates and Furies,maudedozier91_456
166,10,Fates and Furies,leaaronalwaysurs_318
167,9,Fates and Furies,gabrielaelianagonzal_431
168,10,Fates and Furies,yengcm12_650
169,9,Fates and Furies,habibahtu18_463
170,10,Fates and Furies,sandjhatt_249
171,10,Fates and Furies,fox25pope_240
172,5,Fates and Furies,ydoan2
173,10,Fates and Furies,zenith21
174,10,Fates and Furies,val_alexa14_326
175,10,Fates and Furies,rosalupita05_13_46
176,10,Fates and Furies,bellrosty_747
177,9,Fates and Furies,natalietiana_705
178,10,Fates and Furies,myriam_recio43_679
179,10,Fates and Furies,smalbran_220
180,10,Fates and Furies,tandelmamta2304_608
181,10,Fates and Furies,kimmcm143_515
182,10,Fates and Furies,1sejohns_281
183,5,Fates and Furies,momocj88_559
184,1,Fates and Furies,etulane
185,10,Fates and Furies,421178384936663_605
186,10,Fates and Furies,lanak12345_655
187,1,Fates and Furies,changejsabiha_517
188,10,Fates and Furies,gpop5666
189,10,Fates and Furies,estela_m_98_715
190,10,Fates and Furies,qscay
191,10,Fates and Furies,daeduarda_472
192,10,Fates and Furies,dougsie99_446
193,10,Fates and Furies,chica_1608_174
194,6,Fates and Furies,jolena808_484
195,10,Fates and Furies,romanlover93_749
196,10,Fates and Furies,salomepine_502
197,10,Fates and Furies,amandasilvagomes02_178
198,8,Fates and Furies,liz239
199,10,Fates and Furies,maylf
200,2,Fates and Furies,hbrown_22_430
201,7,Fates and Furies,trin771
202,5,Fates and Furies,mmontiel_622_755
203,10,Fates and Furies,stickyaznrice_439
204,10,Fates and Furies,taahine_seini_368
205,10,Fates and Furies,nina_her_3
206,10,Fates and Furies,lorenita456martinez2_343
207,10,Fates and Furies,affi2k7_632
208,10,Fates and Furies,kisekidream
209,10,Fates and Furies,lalyn_divinares
210,10,Fates and Furies,dm9334
211,10,Fates and Furies,vangmailee17_415
212,10,Fates and Furies,464001560400579_61
213,10,Fates and Furies,aloha_mag_238
214,10,Fates and Furies,farhatjan580_779
215,1,Fates and Furies,10207100816100562_850
216,10,Fates and Furies,jacnic112_604
217,10,Fates and Furies,3001id_540
218,7,Fates and Furies,flywidfolo_218
219,10,Fates and Furies,conietorres_574
