,rating,title,user
0,10,Fates and Furies,snowglobeglitter
1,10,Fates and Furies,priszant_643
2,10,Fates and Furies,anna537
3,10,Fates and Furies,mezesjane_399
4,10,Fates and Furies,peppapig1239_82
5,10,Fates and Furies,jojohay
6,8,Fates and Furies,liobhan_514
7,10,Fates and Furies,kfriram_955
8,10,Fates and Furies,juracosta1410_358
9,10,Fates and Furies,amay_lee
10,10,Fates and Furies,pharmgal
11,4,Fates and Furies,abena85
12,5,Fates and Furies,amsdpvsf_280
13,10,Fates and Furies,franksnelia003_258
14,7,Fates and Furies,pkalili_234
15,10,Fates and Furies,dougsie99_446
16,10,Fates and Furies,amendonca_284
17,3,Fates and Furies,sweetdavis23_443
18,8,Fates and Furies,shannah_ginger_668
19,10,Fates and Furies,diasrdia_13
20,10,Fates and Furies,genie8820099_20
21,10,Fates and Furies,ucsprmdl28_315
22,10,Fates and Furies,srtapurple
23,3,Fates and Furies,kpmayon1_944
24,10,Fates and Furies,fely10960_757
25,6,Fates and Furies,rae_star_161
26,9,Fates and Furies,veenus_kalkal_419
27,9,Fates and Furies,natalietiana_705
28,10,Fates and Furies,kleapatra7
29,10,Fates and Furies,buggygirl
30,10,Fates and Furies,classy27d_983
31,10,Fates and Furies,hanyojeong
32,10,Fates and Furies,litobautista_310
33,10,Fates and Furies,pitty_445
34,7,Fates and Furies,dglee25_956
35,6,Fates and Furies,jolena808_484
36,10,Fates and Furies,abir77
37,7,Fates and Furies,maddyson_627
38,10,Fates and Furies,cheryljonz782_665
39,6,Fates and Furies,52476637628816788689
40,10,Fates and Furies,bellrosty_747
41,10,Fates and Furies,elizabethpereira37_167
42,9,Fates and Furies,capistrano_kt_128
43,10,Fates and Furies,leighlovessimon_145
44,8,Fates and Furies,lisafitzgerald10_715
45,10,Fates and Furies,qscay
46,10,Fates and Furies,noemalapira_727
47,10,Fates and Furies,ahansen369_260
48,10,Fates and Furies,kisekidream
49,6,Fates and Furies,lucyismydoll
50,10,Fates and Furies,loydasala17_568
51,10,Fates and Furies,simizioana_857
52,10,Fates and Furies,badran_adan
53,10,Fates and Furies,emesvee26_246
54,4,Fates and Furies,memckay_589
55,1,Fates and Furies,thutran180_79
56,9,Fates and Furies,fapconsorcios_976
57,6,Fates and Furies,shoegirl8212_633
58,3,Fates and Furies,anh_doan_7
59,7,Fates and Furies,whitecrane71
60,10,Fates and Furies,amypylee_255
61,10,Fates and Furies,maritohmaoate_942
62,10,Fates and Furies,melissan2583_952
63,10,Fates and Furies,myriam_recio43_679
64,10,Fates and Furies,magiccasements
65,10,Fates and Furies,benny_agbayani
66,10,Fates and Furies,serenity_svcs_281
67,4,Fates and Furies,mami_jenny_855
68,10,Fates and Furies,gpop5666
69,10,Fates and Furies,fcroby_829
70,10,Fates and Furies,shellarose1_68
71,10,Fates and Furies,romanlover93_749
72,10,Fates and Furies,faradeninou_94
73,8,Fates and Furies,ankisalu_464
74,7,Fates and Furies,ymontanez10_94
75,10,Fates and Furies,pinkpoodle
76,10,Fates and Furies,lanak12345_655
77,9,Fates and Furies,sdafa321_868
78,10,Fates and Furies,ladyang_718
79,10,Fates and Furies,maryamkhalid1962_800
80,10,Fates and Furies,bernadette1970
81,10,Fates and Furies,kenzoamour
82,10,Fates and Furies,bratbaby1000
83,10,Fates and Furies,chopmedic1_352
84,10,Fates and Furies,carmelahariyani_100
85,8,Fates and Furies,norma_gonzalez_4
86,10,Fates and Furies,nfarias
87,9,Fates and Furies,smitch
88,10,Fates and Furies,tropicalms
89,10,Fates and Furies,xelosoriano65_635
