# episodes,genre,network,rating,s_rating,title,cast,director,screenwriter
32,"['23g', '9g', '18g', '6g', '7g']",SBS,9.58,PG-13,Thirty But Seventeen,"['Shin Hye Sun', 'Yang Se Jong', 'Ahn Hyo Seop', 'Ye Ji Won', 'Jung Yoo Jin', 'Yoon Sun Woo', 'Wang Ji Won', 'Lee Seung Joon', 'Shim Yi Young', 'Lee Do Hyun', 'Wang Suk Hyun']",Jo Soo-Won,Jo Sung-Hee
36,"['18g', '1041g', '23g']",SBS,8.73,PG-13,Fates and Furies,"['Joo Sang Wook', 'Lee Min Jung', 'Lee Ki Woo', 'So Yi Hyun', 'Park Soo Ah', 'Cha Soo Yun', 'Lim Ji Kyu', 'Shim Yi Young', 'Jung Soo Young', 'Kwon Tae Won', 'Yoon Hak']",Jung Dong-Yoon,Kang Cheol-Woong
42,"['23g', '9g', '18g']",SBS,9.45,PG-13,The Last Empress,"['Shin Sung Rok', 'Jang Nara', 'Choi Jin Hyuk', 'Shin Eun Kyung', 'Lee Elijah', 'Park Won Sook', 'Yoon Da Hoon', 'Lee Hee Jin', 'Yoon So Yi', 'Stephanie Lee', 'Kim Yoon Ji', 'Tae Hang Ho']",Joo Dong-Min,Kim Sun-Ok
16,"['18g', '23g']",tvN,9.56,PG-13,Encounter,"['Park Bo Gum', 'Song Hye Kyo', 'Jang Seung Jo', 'P.O', 'Nam Gi Ae', 'Shin Jung Geun', 'Kim Hye Eun', 'Lee Shi Hoon', 'Moon Sung Geun', 'Jeon So Nee', 'Baek Ji Won', 'Go Chang Suk', 'Cha Hwa Yun', 'Park Jin Joo']",Park Shin-Woo,Yoo Young-A
32,"['18g', '1041g', '9g', '23g']",SBS,9.55,PG-13,My Strange Hero,"['Yoo Seung Ho', 'Jo Bo Ah', 'Kwak Dong Yeon', 'Yoo Seon Ho', 'Kim Dong Young', 'Park Ah In', 'Kim Yeo Jin', 'Kim Mi Kyung', 'Uhm Hyo Sup', 'Chun Ho Jin', 'Kim Kwang Gyu']",Ham Joon-Ho,Kim Yoon-Young
16,"['23g', '1038g', '18g']",tvN,9.72,PG-13,What’s Wrong With Secretary Kim,"['Park Seo Joon', 'Park Min Young', 'Lee Tae Hwan', 'Kang Ki Young', 'Chansung', 'Pyo Ye Jin', 'Kim Hye Ok', 'Kim Byung Ok', 'Hwang Bo Ra', 'Lee Yoo Joon', 'Lee Jung Min', 'Kim Jung Woon', 'Kang Hong Seok', 'Hong Ji Yoon', 'Kim Ye Won']","Park Joon-Hwa, Yoo Jong-Sun","Jung Kyung-Yoon (novel), Jung Eun-Young"
16,"['18g', '23g']","MBN, Dramax",9.15,PG-13,Devilish Joy,"['Choi Jin Hyuk', 'Song Ha Yoon', 'Lee Ho Won', 'Lee Joo Yeon']",Kim Ga-Ram,Choi Ji-Yeon
33,"['9g', '23g', '6g', '18g']",MBC,9.67,PG-13,I Am Not a Robot,"['Yoo Seung Ho', 'Chae Soo Bin', 'Uhm Ki Joon', 'Hwang Seung Eon', 'Kang Ki Young', 'Seo Dong Won', 'Uhm Hyo Sup', 'Kim Ki Doo', 'Son Byung Ho', 'Kim Min Kyu (1988)', 'Kim Ha Kyoon', 'Park Se Wan', 'Lee Min Ji (1988)', 'Lee Byung Joon']",Jung Dae-Yoon,Kim Seon-Mi
40,"['23g', '9g', '18g', '6g', '26g']",SBS,9.63,PG-13,Suspicious Partner,"['Ji Chang Wook', 'Nam Ji Hyun', 'Choi Tae Joon', 'Nara', 'Kim Ye Won (1987)', 'Lee Deok Hwa', 'Jang Hyuk Jin', 'Nam Gi Ae', 'Jin Ju Hyung', 'Kim Hong Fa', 'Dong Ha']",Park Sun-Ho,Kwon Ki-Young
16,"['18g', '20g', '9g', '23g']",MBC,9.75,PG-13,Weightlifting Fairy Kim Bok Joo,"['Nam Joo Hyuk', 'Lee Sung Kyung', 'Lee Jae Yoon', 'Kyung Soo Jin', 'Choi Moo Sung', 'Jung In Ki', 'Ji Il Joo', 'Jang Young Nam', 'Kang Ki Young', 'Jo Hye Jung', 'Lee Joo Young']",Oh Hyun-Jong,Yang Hee-Seung
82,"['24g', '23g', '9g']",KBS,9.03,PG-13,My Only One,"['Uee', 'Lee Jang Woo', 'Na Hye Mi', 'Yoon Jin Yi', 'Choi Soo Jong', 'Park Sung Hoon', 'Im Ye Jin', 'Jung Eun Woo', 'Cha Hwa Yun', 'Jin Kyung', 'Park Sang Won', 'Jung Jae Sun']",Hong Seok-Ku,Kim Sa-Kyung
17,"['23g', '18g', '9g', '26g', '19g']",MBC,9.69,PG-13,W,"['Lee Jong Suk', 'Han Hyo Joo', 'Lee Tae Hwan', 'Jung Yoo Jin', 'Lee Si Eon', 'Kang Ki Young', 'Park Won Sang', 'Kim Eui Sung', 'Cha Kwang Soo', 'Nam Gi Ae']",Jung Dae-Yoon,Song Jae-Jung
9,"['1037g', '18g', '23g', '25g']",tvN,9.73,PG-13,The Crowned Clown,"['Yeo Jin Goo', 'Lee Se Young', 'Kim Sang Kyung', 'Jung Hye Young', 'Kwon Hae Hyo', 'Jang Gwang', 'Jang Young Nam', 'Yoon Kyung Ho', 'Lee Moo Saeng']",Kim Hee-Won,"Kim Sun-Deok, Shin Ha-Eun"
96,"['14g', '10g', '1044g']",SBS,9.29,PG-13,Running Man,"['Yoo Jae Suk', 'Haha', 'Song Ji Hyo', 'Kim Jong Kook', 'Lee Kwang Soo', 'Ji Suk Jin', 'Jun So Min']",Lee Hwan-Jin,"Jo Hyo-jin, Kim Joo-hyung, Im Hyung-taek"
17,"['18g', '23g', '9g', '1038g', '6g', '19g']",JTBC,9.77,PG-13,Strong Woman Do Bong Soon,"['Park Bo Young', 'Park Hyung Sik', 'Ji Soo', 'An Woo Yeon', 'Kim Min Kyo', 'Yoo Jae Myung', 'Shim Hye Jin', 'Kim Won Hae', 'Seol In Ah', 'Joo Ho', 'Jang Mi Kwan', 'Park Bo Mi', 'Jeon Suk Ho', 'Im Won Hee', 'Kim Won Suk']",Lee Hyeong-Min,Baek Mi-Kyeong
23,"['18g', '19g', '23g', '9g']",SBS,9.6,PG-13,The Legend of the Blue Sea,"['Lee Min Ho', 'Jun Ji Hyun', 'Shin Hye Sun', 'Lee Hee Joon', 'Shin Won Ho', 'Sung Dong Il', 'Moon So Ri', 'Lee Ji Hoon', 'Hwang Shin Hye', 'Jinyoung (GOT7)', 'Oh Yeon Ah']",Jin Hyeok,Park Ji-Eun
16,"['9g', '23g', '18g', '19g']",SBS,9.68,PG-13,While You Were Sleeping,"['Lee Jong Suk', 'Suzy', 'Jung Hae In', 'Shin Jae Ha', 'Lee Sang Yeob', 'Park Jin Joo', 'Min Sung Wook', 'Go Sung Hee', 'Kim Won Hae', 'Lee Jae Kyoon', 'Bae Hae Sun', 'Kim Da Ye']","Oh Choong-Hwan, Park Soo-Jin",Park Hye-Ryun
19,"['23g', '9g', '18g', '1041g', '1040g']",KBS,9.75,PG-13,Descendants of the Sun,"['Song Joong Ki', 'Song Hye Kyo', 'Jin Goo', 'Kim Ji Won', 'Onew', 'Kim Min Suk', 'Lee Seung Joon', 'Hyun Jyu Ni', 'Lee Yi Kyung', 'David McInnis', 'Kang Shin Il', 'Ji Seung Hyun', 'Park Hwan Hee', 'Kim Byung Chul', 'Ahn Bo Hyun', 'Jo Jae Yoon', 'Seo Jeong Yeon', 'Jun Soo Jin', 'Jasper Cho']","Lee Eung-Bok, Baek Sang-Hoon, Yoo Jong-Sun","Kim Eun-Sook, Kim Won-Suk"
32,"['1038g', '23g', '18g']",SBS,9.24,PG-13,Where Stars Land,"['Lee Je Hoon', 'Chae Soo Bin', 'Lee Dong Gun', 'Rowoon', 'Kim Ji Soo', 'Kim Kyung Nam', 'Lee Soo kyung(1996)', 'Lee Sung Wook', 'Hong Ji Min', 'Jang Hyun Sung']",Shin Woo-Cheol,Kang Eun-Kyung
16,"['9g', '23g', '18g', '6g']",KBS,9.65,PG-13,Oh My Venus,"['So Ji Sub', 'Shin Min Ah', 'Jung Gyu Woon', 'Yoo In Young', 'Sung Hoon', 'Henry Lau', 'Jung Hye Sung', 'Kwon Ki Sun', 'Nam Gi Ae']","Kim Hyung-Suk, Lee Na-Jeong",Kim Eun-Ji
40,"['24g', '9g', '1041g', '23g']",MBC,9.15,PG-13,A Pledge to God,"['Han Chae Young', 'Lee Chun Hee', 'Oh Yoon Ah', 'Bae Soo Bin', 'Lee Hwi Hyang', 'Park Geun Hyung', 'Byung Hun', 'Kang Boo Ja', 'Oh Hyun Kyung', 'Kim Hee Jung', 'Bae Hae Sun', 'Choi Phillip']",Yoon Jae-Moon,Hong Young-Hee
20,"['1037g', '18g', '9g', '23g', '1038g']",KBS,9.62,PG-13,Hwarang,"['Park Seo Joon', 'Go Ara', 'Park Hyung Sik', 'Choi Minho', 'Do Ji Han', 'Jo Yoon Woo', ""Kim Taehyung (BTS's V)"", 'Sung Dong Il', 'Kim Ji Soo', 'Choi Won Young', 'Seo Ye Ji', 'Lee Da In', 'Jin Ju Hyung']",Yun Seong-Sik,Park Eun-Young
22,"['9g', '18g', '19g', '23g']",SBS,9.63,PG-13,My Love From the Star,"['Jun Ji Hyun', 'Kim Soo Hyun', 'Park Hae Jin', 'Yoo In Na', 'Shin Sung Rok', 'Ahn Jae Hyun', 'Na Young Hee', 'Kim Kang Hyun', 'Lee Il Hwa', 'Kim Bo Mi', 'Kim Hyun Soo']","Jang Tae-Yoo, Oh Choong-Hwan",Park Ji-Eun
32,"['18g', '6g', '1045g', '23g']",XtvN,9.35,PG-13,Revenge Note 2,"['Samuel', 'Ahn Seo Hyun', 'Kim So Hee', 'Ji Min Hyuk', 'Kim Ji Young', 'Park Hee Jin', 'Seo Yuri', 'Park Seo Yeon', 'Sung Ji Ru', 'Jung Jung Ah', 'Jung Min Kyu']","Oh Seung-Yul, Seo Jae-Joo","Han Sang-Im, Kim Jong-Sun, Shim Mi-Sun"
25,"['6g', '23g', '9g', '18g']",KBS2,9.43,PG-13,Boys Over Flowers,"['Lee Min Ho', 'Ku Hye Sun', 'Kim Hyun Joong', 'Kim Bum', 'Kim Joon', 'Park Ji Bin', 'Nam Da Reum', 'Park Soo Jin', 'Kim So Eun', 'Kim Hyun Joo', 'Han Chae Young', 'Im Joo Hwan', 'Ahn Suk Hwan', 'Seo Min Ji']","Yasuharu Ishii, Osamu Katayama, Daisuke Yamamuro","Yoko Kamio, Yuki Fujimoto"
